Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),App Servers,Amazon EC2,0,1017.89,12214.68,USD,"Operating system (Linux), Quantity (4), Pricing strategy (On-Demand Instances), Storage for each EC2 instance (Provisioned IOPS SSD (io1)), Storage amount (1 TB), Provisioning IOPS (1000), Instance type (t3.xlarge)"
My Estimate,US East (N. Virginia),,Application Load Balancer,0,98.35,1180.20,USD,Number of Application Load Balancers (1)
My Estimate,US East (N. Virginia),,Amazon Virtual Private Cloud (VPC),0,37.35,448.20,USD,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),,Amazon Elastic IP,0,1,12.00,USD,"Number of EC2 instances (4), Number of EIPs per instance (1), Number of EIP remaps (10)"
My Estimate,US East (N. Virginia),,S3 Standard,0,235.52,2826.24,USD,S3 Standard storage (10 TB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,"DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month)"
My Estimate,US East (N. Virginia),,Amazon RDS for MySQL,0,1531.312,18375.74,USD,"Quantity (1), Pricing strategy (Standard Reserved Instances 1 Year No UpFront), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (250 GB), Additional backup storage (2 TB)"
My Estimate,US East (N. Virginia),Web Servers,Amazon EC2,0,2517.6,30211.20,USD,"Operating system (Linux), Quantity (4), Pricing strategy (On-Demand Instances), Storage for each EC2 instance (Provisioned IOPS SSD (io1)), Storage amount (1 TB), Provisioning IOPS (1000), Instance type (c5.4xlarge)"
My Estimate,US East (N. Virginia),,Amazon Route 53,0,182.5,2190.00,USD,Number of Elastic Network Interfaces (2)
My Estimate,US East (N. Virginia),,AWS Data Transfer,0,409.6,4915.20,USD,"DT Inbound: All other regions (1 TB per month), DT Outbound: All other regions (20 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
