User name,AWS access key,Event time,Event source,Event name,AWS region,Source IP address,User agent,Error code,Resources,Request ID,Event ID,Read-only,Event type,Recipient Account Id,Event category
Accountant,,2020-12-23T16:04:24Z,signin.amazonaws.com,ConsoleLogin,us-east-1,188.61.136.155,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:84.0) Gecko/20100101 Firefox/84.0,,[],,63e27fea-171e-42e4-a158-a2ca83c06387,false,AwsConsoleSignIn,724852464723,Management
root,ASIA2RRES3RJSESIAR6D,2020-12-23T16:02:51Z,s3.amazonaws.com,DeleteBucket,eu-central-1,188.61.136.155,"[S3Console/0.4, aws-internal/3 aws-sdk-java/1.11.915 Linux/4.9.217-0.3.ac.206.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-724852464723-b925240b""}]",BY3TFY1R2GAZBS6W,a29a6f24-fdc4-49d4-a0f9-6e8215a088aa,false,AwsApiCall,724852464723,Management
CloudTrail,ASIA2RRES3RJUFNJ4NX7,2020-12-23T16:02:14Z,cloudtrail.amazonaws.com,PutEventSelectors,eu-central-1,188.61.136.155,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:eu-central-1:724852464723:trail/Udacity_Trail""}]",c5c5c79a-31fa-44b3-abb6-ce0b3f513951,18d098fd-ac8c-4b62-8df0-f1721712f7c4,false,AwsApiCall,724852464723,Management
CloudTrail,ASIA2RRES3RJUFNJ4NX7,2020-12-23T16:02:14Z,cloudtrail.amazonaws.com,StartLogging,eu-central-1,188.61.136.155,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""}]",ad4fd709-8e8d-41b3-a9f5-fa325e6e2f4b,358fb875-5225-4f87-9e82-1e5a6dffed74,false,AwsApiCall,724852464723,Management
CloudTrail,ASIA2RRES3RJUFNJ4NX7,2020-12-23T16:02:14Z,cloudtrail.amazonaws.com,PutInsightSelectors,eu-central-1,188.61.136.155,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:eu-central-1:724852464723:trail/Udacity_Trail""}]",54efdb63-2b11-426d-a680-55f879c3d61a,d16310c7-4185-4af5-bc7d-78b9189532f1,false,AwsApiCall,724852464723,Management
CloudTrail,ASIA2RRES3RJUFNJ4NX7,2020-12-23T16:02:14Z,cloudtrail.amazonaws.com,CreateTrail,eu-central-1,188.61.136.155,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:eu-central-1:724852464723:trail/Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-724852464723-70ce9751""}]",62113459-9595-4698-9eb9-589e4067cfe4,f61cb4e8-883a-4afe-97fd-54077f3391c6,false,AwsApiCall,724852464723,Management
CloudTrail,ASIA2RRES3RJUFNJ4NX7,2020-12-23T16:02:13Z,s3.amazonaws.com,PutBucketPolicy,eu-central-1,188.61.136.155,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.914 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-724852464723-70ce9751""}]",FBAD7FF46C74D06B,83f9da7d-10d8-40fd-8acb-478272ed4480,false,AwsApiCall,724852464723,Management
CloudTrail,ASIA2RRES3RJUFNJ4NX7,2020-12-23T15:58:09Z,s3.amazonaws.com,PutBucketPublicAccessBlock,eu-central-1,188.61.136.155,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.914 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation]",AccessDenied,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-724852464723-b925240b""}]",DZ8N6VAWFV1H3VFM,4da4738f-4acc-45fe-92b7-e3d7dd320f80,false,AwsApiCall,724852464723,Management
CloudTrail,ASIA2RRES3RJUFNJ4NX7,2020-12-23T15:58:09Z,s3.amazonaws.com,PutBucketPolicy,eu-central-1,188.61.136.155,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.914 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-724852464723-b925240b""}]",E3315464C056C89D,82cb22da-a106-4664-8d6a-af44b64cd559,false,AwsApiCall,724852464723,Management
CloudTrail,ASIA2RRES3RJUFNJ4NX7,2020-12-23T15:58:09Z,s3.amazonaws.com,CreateBucket,eu-central-1,188.61.136.155,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.914 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-724852464723-b925240b""}]",97BC69C88857DD1A,ad4c5e05-5313-4a77-91cf-465e6ffdd072,false,AwsApiCall,724852464723,Management
